Dataset_name,Original accruacy results of iteration 0,Results of my code
ACSF1,0.91,0.95
Adiac,0.831202046,0.836317136
AllGestureWiimoteX,0.771428571,0.771428571
AllGestureWiimoteY,0.832857143,0.81
AllGestureWiimoteZ,0.778571429,0.792857143
ArrowHead,0.822857143,0.817142857
Beef,0.666666667,0.8
BeetleFly,0.75,0.75
BirdChicken,0.95,0.9
BME,0.993333333,1
Car,0.866666667,0.9
CBF,0.994444444,1
Chinatown,0.982507289,0.982608696
ChlorineConcentration,0.859635417,0.857552083
CinCECGTorso,0.864492754,0.85942029
Coffee,1,1
Computers,0.78,0.764
CricketX,0.828205128,0.841025641
CricketY,0.841025641,0.838461538
CricketZ,0.833333333,0.858974359
Crop,0.753154762,0.766369048
DiatomSizeReduction,0.931372549,0.980392157
DistalPhalanxOutlineAgeGroup,0.748201439,0.726618705
DistalPhalanxOutlineCorrect,0.778985507,0.786231884
DistalPhalanxTW,0.669064748,0.633093525
DodgerLoopDay,0.15,0.475
DodgerLoopGame,0.847826087,0.920289855
DodgerLoopWeekend,0.963768116,0.971014493
Earthquakes,0.726618705,0.676258993
ECG200,0.92,0.87
ECG5000,0.936888889,0.938
ECGFiveDays,1,1
ElectricDevices,0.702113863,0.713007392
EOGHorizontalSignal,0.610497238,0.651933702
EOGVerticalSignal,0.447513812,0.472375691
EthanolLevel,0.806,0.814
FaceAll,0.796449704,0.821893491
FaceFour,0.954545455,0.954545455
FacesUCR,0.963414634,0.964878049
FiftyWords,0.804395604,0.826373626
Fish,0.982857143,0.988571429
FordA,0.95530303,0.948484848
FordB,0.867901235,0.843209877
FreezerRegularTrain,0.996842105,0.996140351
FreezerSmallTrain,0.848070175,0.94
Fungi,1,0.989247312
GestureMidAirD1,0.746153846,0.746153846
GestureMidAirD2,0.730769231,0.615384615
GestureMidAirD3,0.369230769,0.407692308
GesturePebbleZ1,0.924418605,0.924418605
GesturePebbleZ2,0.873417722,0.905063291
GunPoint,1,0.993333333
GunPointAgeSpan,0.987341772,0.990506329
GunPointMaleVersusFemale,0.993670886,0.996835443
GunPointOldVersusYoung,0.952380952,1
Ham,0.723809524,0.742857143
HandOutlines,0.945945946,0.927027027
Haptics,0.564935065,0.535714286
Herring,0.671875,0.5625
HouseTwenty,0.974789916,0.966386555
InlineSkate,0.465454545,0.485454545
InsectEPGRegularTrain,1,1
InsectEPGSmallTrain,0.9437751,0.301204819
InsectWingbeatSound,0.632828283,0.627272727
ItalyPowerDemand,0.955296404,0.967930029
LargeKitchenAppliances,0.904,0.896
Lightning2,0.803278689,0.836065574
Lightning7,0.808219178,0.808219178
Mallat,0.942857143,0.970575693
Meat,0.916666667,0.966666667
MedicalImages,0.790789474,0.789473684
MelbournePedestrian,0.908569086,0.966122449
MiddlePhalanxOutlineAgeGroup,0.545454545,0.512987013
MiddlePhalanxOutlineCorrect,0.81443299,0.793814433
MiddlePhalanxTW,0.525974026,0.493506494
MixedShapesRegularTrain,0.967835052,0.971546392
MixedShapesSmallTrain,0.909690722,0.903505155
MoteStrain,0.882587859,0.908146965
NonInvasiveFetalECGThorax1,0.961832061,0.954198473
NonInvasiveFetalECGThorax2,0.958778626,0.955216285
OliveOil,0.833333333,0.766666667
OSULeaf,0.925619835,0.954545455
PhalangesOutlinesCorrect,0.837995338,0.837995338
Phoneme,0.324894515,0.311708861
PickupGestureWiimoteZ,0.72,0.86
PigAirwayPressure,0.524038462,0.846153846
PigArtPressure,0.995192308,1
PigCVP,0.947115385,0.826923077
PLAID,0.929236499,0.130353818
Plane,1,1
PowerCons,0.944444444,0.988888889
ProximalPhalanxOutlineAgeGroup,0.853658537,0.834146341
ProximalPhalanxOutlineCorrect,0.934707904,0.924398625
ProximalPhalanxTW,0.785365854,0.765853659
RefrigerationDevices,0.541333333,0.538666667
Rock,0.84,0.72
ScreenType,0.570666667,0.573333333
SemgHandGenderCh2,0.808333333,0.833333333
SemgHandMovementCh2,0.428888889,0.515555556
SemgHandSubjectCh2,0.8,0.666666667
ShakeGestureWiimoteZ,0.9,0.98
ShapeletSim,0.983333333,0.983333333
ShapesAll,0.915,0.92
SmallKitchenAppliances,0.768,0.765333333
SmoothSubspace,0.973333333,0.986666667
SonyAIBORobotSurface1,0.850249584,0.993344426
SonyAIBORobotSurface2,0.945435467,0.937040923
StarLightCurves,0.978873239,0.977051967
Strawberry,0.981081081,0.97027027
SwedishLeaf,0.9472,0.9632
Symbols,0.982914573,0.963819095
SyntheticControl,0.993333333,0.996666667
ToeSegmentation1,0.956140351,0.973684211
ToeSegmentation2,0.946153846,0.946153846
Trace,1,1
TwoLeadECG,0.995610184,0.999122037
TwoPatterns,1,1
UMD,0.986111111,0.993055556
UWaveGestureLibraryAll,0.942211055,0.949748744
UWaveGestureLibraryX,0.812953657,0.817978783
UWaveGestureLibraryY,0.750139587,0.756839754
UWaveGestureLibraryZ,0.748185371,0.747068677
Wafer,0.998215445,0.997566515
Wine,0.759259259,0.722222222
WordSynonyms,0.731974922,0.757053292
Worms,0.753246753,0.753246753
WormsTwoClass,0.792207792,0.805194805
Yoga,0.905333333,0.898
